                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1779,                0.75089,                 1.1485,                0.88266,                0.78709,                0.88617,                0.64428,                   1.06,                0.79924,                 1.1911,             0.00084162,             0.00084162,             0.00084162
                     36,                 1.1983,                 0.7645,                 1.1672,                0.87851,                0.81252,                0.90458,                0.66289,                 1.0465,                0.75801,                 1.1883,             0.00082925,             0.00082925,             0.00082925
                     37,                 1.1701,                0.73999,                 1.1583,                0.86367,                0.83229,                0.90371,                0.65996,                 1.0255,                0.74341,                 1.1628,             0.00081688,             0.00081688,             0.00081688
                     38,                 1.1553,                0.72376,                 1.1412,                0.87002,                0.82002,                0.90393,                0.65856,                 1.0393,                0.81171,                 1.1695,              0.0008045,              0.0008045,              0.0008045
                     39,                 1.1558,                0.72075,                 1.1277,                0.88609,                0.81903,                0.91013,                0.65728,                 1.0257,                0.77765,                 1.1557,             0.00079213,             0.00079213,             0.00079213
                     40,                 1.1628,                0.72312,                 1.1391,                0.87924,                0.82072,                0.90918,                0.65471,                 1.0315,                0.71775,                 1.1569,             0.00077975,             0.00077975,             0.00077975
                     41,                 1.1545,                0.71934,                 1.1361,                0.88149,                0.82331,                0.90521,                0.65917,                 1.0351,                0.74129,                 1.1613,             0.00076738,             0.00076738,             0.00076738
                     42,                  1.144,                0.70466,                 1.1283,                0.90203,                0.84171,                0.91587,                0.67003,                  1.007,                0.69797,                 1.1427,               0.000755,               0.000755,               0.000755
                     43,                 1.1535,                0.71782,                 1.1287,                 0.8955,                0.83726,                0.91391,                0.66475,                 1.0248,                0.71996,                  1.147,             0.00074263,             0.00074263,             0.00074263
                     44,                 1.1442,                0.70376,                 1.1274,                0.89197,                0.85421,                0.92347,                0.67146,                   1.03,                0.72946,                 1.1557,             0.00073025,             0.00073025,             0.00073025
                     45,                 1.1232,                0.69135,                 1.1135,                0.91419,                0.84139,                0.92495,                 0.6916,                0.99015,                0.68949,                 1.1294,             0.00071788,             0.00071788,             0.00071788
                     46,                 1.1326,                0.70315,                 1.1252,                0.90455,                0.82638,                0.92651,                0.68596,                0.98644,                0.67922,                 1.1314,              0.0007055,              0.0007055,              0.0007055
                     47,                 1.1295,                0.68609,                 1.1227,                0.89851,                0.86824,                0.92432,                0.69125,                0.98298,                0.66694,                 1.1244,             0.00069313,             0.00069313,             0.00069313
                     48,                 1.1104,                0.68656,                 1.1232,                0.91635,                0.83821,                0.92278,                0.67769,                0.99127,                 0.6682,                 1.1264,             0.00068075,             0.00068075,             0.00068075
                     49,                 1.1321,                0.68244,                 1.1198,                0.93288,                0.85234,                0.93227,                0.69533,                0.96496,                0.66544,                   1.11,             0.00066838,             0.00066838,             0.00066838
                     50,                 1.0982,                0.66714,                 1.1059,                0.91244,                0.86449,                0.93597,                0.69973,                0.97737,                0.63631,                 1.1134,               0.000656,               0.000656,               0.000656
                     51,                 1.0895,                0.65942,                 1.1097,                0.92453,                0.85933,                0.93561,                0.70243,                0.96893,                0.67275,                 1.1085,             0.00064362,             0.00064362,             0.00064362
                     52,                  1.101,                 0.6643,                 1.1006,                0.91343,                0.86565,                0.93734,                0.70532,                0.95977,                0.62975,                 1.1065,             0.00063125,             0.00063125,             0.00063125
                     53,                 1.0756,                 0.6398,                 1.0916,                 0.8958,                0.88175,                0.93962,                0.70685,                0.95162,                0.61776,                 1.1015,             0.00061887,             0.00061887,             0.00061887
                     54,                 1.0741,                0.64062,                 1.0856,                0.91305,                0.86995,                0.94268,                0.71678,                0.94505,                0.61678,                 1.0984,              0.0006065,              0.0006065,              0.0006065
                     55,                 1.1081,                0.65287,                 1.1002,                 0.9218,                0.87786,                0.94182,                0.71157,                0.94836,                0.63159,                 1.0952,             0.00059413,             0.00059413,             0.00059413
                     56,                 1.0862,                0.64315,                 1.0872,                0.88311,                0.89331,                0.94385,                0.71672,                0.93641,                0.60853,                 1.0851,             0.00058175,             0.00058175,             0.00058175
                     57,                 1.0686,                0.63417,                 1.0866,                0.88705,                0.88685,                0.94035,                0.71279,                0.93602,                0.61505,                 1.0884,             0.00056938,             0.00056938,             0.00056938
                     58,                 1.0917,                 0.6507,                 1.1049,                0.90703,                0.88622,                0.94445,                0.72005,                0.92961,                0.59419,                 1.0852,               0.000557,               0.000557,               0.000557
                     59,                 1.0607,                0.63463,                 1.0841,                0.93078,                 0.8784,                0.94532,                0.71896,                0.93864,                0.59204,                 1.0895,             0.00054463,             0.00054463,             0.00054463
                     60,                 1.0743,                0.63422,                 1.0903,                0.92296,                0.89039,                  0.953,                0.71844,                0.94184,                0.59489,                  1.088,             0.00053225,             0.00053225,             0.00053225
                     61,                 1.0719,                0.62131,                 1.0831,                0.91341,                0.87977,                0.94638,                0.71905,                0.93286,                0.61503,                 1.0842,             0.00051988,             0.00051988,             0.00051988
                     62,                 1.0507,                0.62112,                 1.0843,                0.92407,                0.87907,                0.95205,                0.72472,                0.93908,                0.61385,                 1.0867,              0.0005075,              0.0005075,              0.0005075
                     63,                 1.0537,                0.62699,                 1.0856,                 0.9049,                0.89006,                0.95254,                0.73029,                0.92476,                0.57008,                 1.0778,             0.00049513,             0.00049513,             0.00049513
                     64,                  1.071,                0.63419,                 1.0951,                0.91083,                0.87045,                0.94519,                 0.7254,                0.91797,                0.61162,                 1.0801,             0.00048275,             0.00048275,             0.00048275
                     65,                 1.0604,                0.62327,                 1.0806,                  0.931,                0.88809,                0.95703,                0.73209,                0.91326,                0.56279,                 1.0686,             0.00047038,             0.00047038,             0.00047038
                     66,                 1.0482,                0.61844,                  1.076,                0.92391,                0.89601,                0.95345,                0.73304,                 0.9108,                0.56682,                 1.0694,               0.000458,               0.000458,               0.000458
                     67,                 1.0402,                0.60902,                 1.0761,                0.92476,                0.88853,                 0.9515,                0.73623,                0.90945,                0.60047,                 1.0654,             0.00044563,             0.00044563,             0.00044563
                     68,                  1.048,                0.60512,                 1.0697,                0.91485,                0.90111,                0.95457,                0.73558,                0.90518,                0.55866,                 1.0635,             0.00043325,             0.00043325,             0.00043325
                     69,                 1.0292,                 0.5986,                 1.0658,                0.91018,                0.88365,                0.95183,                0.72875,                0.92105,                0.58522,                 1.0735,             0.00042087,             0.00042087,             0.00042087
                     70,                  1.046,                0.60332,                 1.0726,                0.90798,                0.91013,                0.95602,                0.74091,                0.91229,                0.56397,                 1.0681,              0.0004085,              0.0004085,              0.0004085
                     71,                 1.0308,                0.58694,                 1.0703,                0.90149,                0.91431,                0.95919,                0.74948,                0.88831,                0.54063,                 1.0531,             0.00039613,             0.00039613,             0.00039613
                     72,                 1.0487,                0.59312,                 1.0794,                0.89133,                 0.9151,                0.94714,                0.73322,                0.89167,                0.55901,                 1.0577,             0.00038375,             0.00038375,             0.00038375
                     73,                 1.0306,                0.59029,                 1.0607,                0.92762,                0.89304,                0.95875,                0.74375,                 0.8934,                0.55009,                  1.053,             0.00037138,             0.00037138,             0.00037138
                     74,                0.99463,                0.57813,                 1.0515,                0.90489,                 0.9092,                0.95442,                0.74364,                0.88575,                0.54199,                 1.0567,               0.000359,               0.000359,               0.000359
                     75,                 1.0338,                0.58732,                 1.0694,                0.88986,                  0.922,                0.95124,                0.73992,                0.88277,                0.54448,                 1.0489,             0.00034663,             0.00034663,             0.00034663
                     76,                 1.0273,                0.58269,                  1.058,                0.91482,                 0.9116,                0.95345,                0.74179,                0.88329,                0.53662,                 1.0471,             0.00033425,             0.00033425,             0.00033425
                     77,                 1.0415,                0.59573,                 1.0742,                0.90162,                0.91057,                0.95625,                0.74783,                0.87952,                0.53889,                 1.0456,             0.00032188,             0.00032188,             0.00032188
                     78,                 1.0317,                0.58467,                 1.0616,                0.91038,                0.92208,                0.95858,                0.74827,                0.88224,                0.54497,                 1.0492,              0.0003095,              0.0003095,              0.0003095
                     79,                 1.0248,                0.57858,                 1.0541,                0.90563,                0.92241,                0.95544,                0.74862,                0.87136,                0.52745,                 1.0418,             0.00029713,             0.00029713,             0.00029713
                     80,                 1.0035,                0.57084,                 1.0474,                0.91549,                0.91951,                 0.9588,                0.75328,                0.86194,                0.52241,                 1.0367,             0.00028475,             0.00028475,             0.00028475
                     81,                 1.0004,                0.57495,                 1.0559,                0.90763,                0.91897,                0.95528,                0.74659,                0.86525,                0.53981,                 1.0377,             0.00027237,             0.00027237,             0.00027237
                     82,                 1.0083,                0.57653,                 1.0483,                0.90364,                0.92229,                0.94351,                0.73433,                0.86822,                0.53494,                 1.0389,                0.00026,                0.00026,                0.00026
                     83,                 1.0023,                0.56286,                 1.0453,                0.91336,                0.91725,                0.94084,                0.73571,                0.86492,                0.51347,                 1.0355,             0.00024762,             0.00024762,             0.00024762
                     84,                0.98524,                0.55936,                 1.0488,                0.91387,                0.92077,                0.95492,                0.75251,                 0.8617,                0.51342,                  1.036,             0.00023525,             0.00023525,             0.00023525
                     85,                 1.0125,                0.57109,                 1.0579,                 0.9286,                0.91725,                0.95969,                0.75285,                 0.8553,                0.51294,                 1.0328,             0.00022288,             0.00022288,             0.00022288
                     86,                 1.0089,                0.56408,                   1.05,                0.92273,                0.91268,                0.94154,                0.73636,                   0.87,                0.52495,                 1.0353,              0.0002105,              0.0002105,              0.0002105
                     87,                 1.0021,                0.55767,                 1.0491,                0.92187,                0.92557,                0.96447,                0.76179,                0.84968,                 0.5026,                 1.0281,             0.00019813,             0.00019813,             0.00019813
                     88,                0.99015,                0.54885,                 1.0381,                0.92216,                0.92795,                 0.9635,                0.76038,                0.85289,                0.50753,                 1.0256,             0.00018575,             0.00018575,             0.00018575
                     89,                0.99353,                0.55704,                 1.0401,                0.91735,                0.92757,                 0.9458,                0.74982,                0.84456,                0.50091,                 1.0243,             0.00017338,             0.00017338,             0.00017338
                     90,                0.99179,                0.55129,                 1.0494,                0.92044,                0.92246,                0.94594,                0.74909,                0.84326,                0.50996,                 1.0242,               0.000161,               0.000161,               0.000161
                     91,                0.98089,                0.53326,                 1.0366,                0.91325,                0.92602,                 0.9304,                0.73144,                0.85035,                0.51563,                 1.0231,             0.00014862,             0.00014862,             0.00014862
                     92,                0.97811,                 0.5243,                 1.0391,                0.91526,                0.93063,                0.95286,                0.75279,                0.84524,                0.50145,                 1.0229,             0.00013625,             0.00013625,             0.00013625
                     93,                0.95512,                  0.509,                 1.0263,                0.91527,                0.93009,                0.96064,                0.76545,                 0.8413,                0.49072,                 1.0201,             0.00012387,             0.00012387,             0.00012387
                     94,                0.94736,                0.50325,                 1.0308,                0.92302,                0.92287,                0.95961,                0.76493,                0.83544,                0.48891,                 1.0168,              0.0001115,              0.0001115,              0.0001115
                     95,                0.94388,                0.50021,                 1.0275,                0.92145,                0.92661,                0.95762,                0.76234,                0.83816,                0.48649,                 1.0197,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.96016,                 0.5062,                 1.0374,                0.92905,                0.92614,                0.96079,                0.76665,                0.82937,                0.48029,                 1.0153,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.95114,                0.49915,                 1.0254,                0.91763,                0.93868,                 0.9584,                0.76416,                0.83069,                0.48714,                 1.0149,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.94129,                  0.494,                 1.0293,                0.92647,                0.93003,                0.96234,                0.76952,                 0.8293,                0.47921,                 1.0132,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.94113,                0.49285,                 1.0187,                0.93178,                0.93143,                0.95938,                0.76574,                0.82728,                0.47799,                 1.0123,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.93933,                  0.491,                 1.0175,                0.92925,                0.93228,                0.95709,                0.76653,                0.82451,                0.47661,                 1.0112,              3.725e-05,              3.725e-05,              3.725e-05
